user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
004A07DM0IDW,1d688ec168932,1541555614,1,interaction item image,2059240,CO,"Santa Marta, Colombia",mobile,,,
004A07DM0IDW,1d688ec168932,1541555614,2,interaction item image,2059240,CO,"Santa Marta, Colombia",mobile,,,
004A07DM0IDW,1d688ec168932,1541555696,3,clickout item,1050068,CO,"Santa Marta, Colombia",mobile,,2059240|2033381|1724779|127131|399441|103357|127132|1167004|4491766|2249874|5834720|1050068|5162722|3442272|5838202|3135079|3241426|9030086|7997464|6827260|1472107|3881554|127128|1963235|4359818,70|46|48|76|65|65|106|66|87|43|52|44|60|61|50|55|32|68|44|25|40|29|208|62|63
004A07DM0IDW,1d688ec168932,1541555707,4,clickout item,1050068,CO,"Santa Marta, Colombia",mobile,,2059240|2033381|1724779|127131|399441|103357|127132|1167004|4491766|2249874|5834720|1050068|5162722|3442272|5838202|3135079|3241426|9030086|7997464|6827260|1472107|3881554|127128|1963235|4359818,70|46|48|76|65|65|106|66|87|43|52|44|60|61|50|55|32|68|44|25|40|29|208|62|63
004A07DM0IDW,1d688ec168932,1541555717,5,clickout item,1050068,CO,"Santa Marta, Colombia",mobile,,2059240|2033381|1724779|127131|399441|103357|127132|1167004|4491766|2249874|5834720|1050068|5162722|3442272|5838202|3135079|3241426|9030086|7997464|6827260|1472107|3881554|127128|1963235|4359818,70|46|48|76|65|65|106|66|87|43|52|44|60|61|50|55|32|68|44|25|40|29|208|62|63
004A07DM0IDW,1d688ec168932,1541555792,6,clickout item,3241426,CO,"Santa Marta, Colombia",mobile,,2059240|2033381|1724779|127131|399441|103357|127132|1167004|4491766|2249874|5834720|1050068|5162722|3442272|5838202|3135079|3241426|9030086|7997464|6827260|1472107|3881554|127128|1963235|4359818,70|46|48|76|65|65|106|66|87|43|52|44|60|61|50|55|32|68|44|25|40|29|208|62|63
004A07DM0IDW,1d688ec168932,1541555799,7,clickout item,,CO,"Santa Marta, Colombia",mobile,,2059240|2033381|1724779|127131|399441|103357|127132|1167004|4491766|2249874|5834720|1050068|5162722|3442272|5838202|3135079|3241426|9030086|7997464|6827260|1472107|3881554|127128|1963235|4359818,70|46|48|76|65|65|106|66|87|43|52|44|60|61|50|55|32|68|44|25|40|29|208|62|63
009RGHI3G9A3,f05ab0de907e2,1541570935,1,interaction item info,7065316,IN,"Nathdwara, India",mobile,,,
009RGHI3G9A3,f05ab0de907e2,1541570940,2,clickout item,,IN,"Nathdwara, India",mobile,,10884872|7065316,64|28
00Y1Z24X8084,26b6d294d66e7,1541651766,1,clickout item,3843244,PH,"Iloilo City, Philippines",mobile,,2714480|4476010|3843244|3833012|9017890|1981001|9343000|5101686|3766088|2508850|7101352|3862098|5497362|5052004|3853058|9928620|3823768|10185790|7794970|8286730|2266820|6030666|10024490|3837924,74|14|22|38|55|44|28|34|23|27|12|108|19|21|36|19|19|36|22|33|34|30|14|37
